# JCY8001 dev firmware EIS sweep BASELINE
# Resistor: ORIGINAL precision 1ohm (R6, wirewound BWL/EE), Rsamp_sel=2 (1ohm range)
# Date: 2026-05-30  Bench: 192.168.0.53  Cell: ~3.29V real cell, temp ~35C
# Register = uOhm * 100000 (host /100000 = uOhm). IM negative = inductive.
# Purpose: baseline before swapping R6 to thick-film 1ohm TO220, to compare HF inductive tail.
reg,freq_hz,RE_uohm,IM_uohm,mag_uohm,phase_deg
0x0B42,1007.0827,954.63,-1774.46,2014.95,-61.721
0x09A6,633.2414,915.56,-1119.33,1446.08,-50.718
0x0B1A,396.7295,895.58,-685.21,1127.64,-37.420
0x0942,251.7707,894.41,-403.31,981.13,-24.272
0x07A6,158.3103,904.95,-206.36,928.18,-12.846
0x091A,99.1824,938.62,-69.53,941.19,-4.237
0x0742,62.9427,984.52,23.17,984.80,1.348
0x072A,40.0544,1041.40,73.02,1043.95,4.011
0x071A,24.7956,1101.68,91.46,1105.47,4.746
0x0A02,15.2588,1151.83,91.45,1155.45,4.540
0x070A,9.5368,1187.27,82.07,1190.11,3.954
0x0706,5.7221,1218.20,65.89,1219.98,3.096
0x0802,3.8147,1238.08,56.40,1239.36,2.608
0x0702,1.9074,1272.43,42.66,1273.14,1.920
0x0602,0.9537,1301.15,58.58,1302.47,2.578
0x0502,0.4768,1335.51,68.76,1337.28,2.947
0x0402,0.2384,1394.18,104.26,1398.07,4.277
0x0302,0.1192,1485.03,156.90,1493.30,6.031
