# JCY8001 dev firmware EIS sweep - THICK FILM 1ohm TO220 (R6 replacement)
# Resistor: thick-film 1ohm TO220 (replaced original precision wirewound R6), Rsamp_sel=2
# Date: 2026-05-30  Bench: 192.168.0.53  Cell: 3.290V real cell, temp ~36C
# Register = uOhm*100000 (host /100000=uOhm). IM negative = inductive.
# NOTE: 0.4768Hz point frozen (dup of 0.954Hz), exclude. High-freq points status=0x0006 valid, reproduced across 2 runs.
reg,freq_hz,RE_uohm,IM_uohm,mag_uohm,phase_deg
0x0B42,1007.0827,1145.18,-2462.80,2716.03,-65.062
0x09A6,633.2414,1066.24,-1575.61,1902.47,-55.913
0x0B1A,396.7295,1015.30,-987.68,1416.45,-44.210
0x0942,251.7707,984.92,-604.88,1155.83,-31.555
0x07A6,158.3103,984.98,-335.05,1040.41,-18.786
0x091A,99.1824,1006.42,-153.15,1018.01,-8.652
0x0742,62.9427,1048.95,-34.01,1049.50,-1.857
0x072A,40.0544,1100.42,35.34,1100.98,1.839
0x071A,24.7956,1155.76,69.44,1157.84,3.438
0x0A02,15.2588,1205.59,79.70,1208.22,3.782
0x070A,9.5368,1237.53,70.78,1239.55,3.274
0x0706,5.7221,1261.95,63.92,1263.56,2.900
0x0802,3.8147,1276.31,60.64,1277.75,2.720
0x0702,1.9074,1305.16,55.84,1306.35,2.450
0x0602,0.9537,1328.37,59.47,1329.70,2.563
0x0402,0.2384,1353.91,78.19,1356.16,3.305
0x0302,0.1192,1382.03,106.62,1386.14,4.412
